,index,Global_active_power,Global_reactive_power,Voltage,Sub_metering_total,Hour,Minutes,day,month,year
0,1039978,1.77,0.192,242.81,18,22,22,7,12,2008
1,855092,0.246,0.128,240.34,0,12,56,1,8,2008
2,1404384,0.894,0.184,239.11,8,23,48,17,8,2009
3,420335,0.28,0,239.69,0,14,59,4,10,2007
4,413528,1.902,0.278,235.48,1,21,32,29,9,2007
5,27734,0.41,0.162,244.6,0,23,38,4,1,2007
6,1389176,0.232,0.134,241.11,0,10,20,7,8,2009
7,1882515,0.744,0.21,242.58,3,0,39,16,7,2010
8,1137494,0.388,0.228,244.4,0,15,38,13,2,2009
9,79428,1.686,0.274,241.83,0,21,12,9,2,2007
10,1120797,0.22,0,248.05,0,1,21,2,2,2009
11,1415467,0.402,0.372,242.81,2,16,31,25,8,2009
12,422188,1.28,0.096,240.22,0,21,52,5,10,2007
13,807948,0.138,0,240.52,1,19,12,29,6,2008
14,1146886,0.4,0.07,246.01,1,4,10,20,2,2009
15,133395,1.878,0,238.36,18,8,39,19,3,2007
16,1593891,1.89,0.198,243.37,20,14,15,27,12,2009
17,1235224,1.61,0.296,241.77,19,12,28,22,4,2009
18,1338798,0.852,0.118,240.99,12,10,42,3,7,2009
19,260030,1.29,0.064,238.08,17,7,14,15,6,2007
20,18049,2.518,0.164,247.59,0,6,13,29,12,2006
21,1772494,1.46,0.178,239.33,18,14,58,30,4,2010
22,311736,0.258,0.168,234.89,1,5,0,21,7,2007
23,388033,0.306,0.262,243.69,1,4,37,12,9,2007
24,860337,0.346,0.214,239.33,3,4,21,5,8,2008
25,1349220,0.528,0.054,241.5,7,16,24,10,7,2009
26,1624958,0.322,0.104,244.54,1,4,2,18,1,2010
27,1369554,0.302,0.264,242.68,1,19,18,24,7,2009
28,500906,1.302,0.052,241.8,18,13,50,29,11,2007
29,691612,0.252,0,243.23,1,0,16,10,4,2008
30,1666602,0.434,0.084,244.64,1,2,6,16,2,2010
31,876620,0.186,0.152,241.11,1,11,44,16,8,2008
32,343023,0.2,0.128,238.61,0,22,27,11,8,2007
33,13812,2.806,0.092,241,0,7,36,26,12,2006
34,566628,0.31,0.086,245.46,2,5,12,14,1,2008
35,1919446,0.326,0.232,243.43,1,16,10,10,8,2010
